rating,text,positivity
2,"I can only use these on those indoor blameless candles and even then, they dont last very long...a little disappointed...",0
5,"Lieutenant An got me these batteries. To then I got a call from him, saying we dont have to worry about batteries no more. And I said, that good! One less thing. -Forest",1
1,During my first charging they were leaking and wrapping was coming off. A waste of money,0
2,TERRIBLE! Rarely lasted three hours during a digital camera shoot where Duracell lasts multiple days.,0
5,I bought these batteries to use with a battery operated pump that transfers gas from a gas can into the tank of my riding power. His is a far better way of feeling my power than trying to lift a five gallon tank and trying to empty it into the power tank. The pump uses 4 of batteries and that is the way the Amazon batteries are package. Having them bundles in foursomes is convenient. By pump runs perfectly with these batteries.These batteries are said to have a shelf life of ten years so I won't be having to buy more of batteries for at least that long. The price of these batteries is a genuine bargain and is it highly recommended to get this offer if of batteries are needed.,1
5,Seem to work one for a fraction of the price!,1
1,These don't last long at all.,0
5,AAA batteries. They last adequately and are at a very competitive price point. For that reason I don't think I will be buying batteries from any competitor if they're more expensive than these. Bravo Amazon.,1
2,"Use these in a tireless of mouse. Was about 30 less life as copper top brand. Good price, but most likely will not buy again.",0
5,Great product and u can't beat this price anywhere,1
1,"Lasted about a week in my electric toothbrush. Energizer and Duracell brand lasted a month. Cried with 4 different Amazon batteries, same results. Very dissatisfied",0
5,You get what you pay for in life but for the price and amount these are actually great one say or two days of strong power for flashlights or tireless headphones etc. For remote theyblast for quite a while. Package was nice fast delivery thinking of actually buying different sizes for other electronics ...would definitely order again ...kind like gas not premium or regular something like a plus ....ll i have tried all those other expensive bands that supposed to last six more longer well by the time you pay for one pack and get maybe a months with depending on usage you could have a 100 of these and still have left over......just saying your not buying tires or rakes for your car so test them out they sell it in smaller amounts and subscription amount etc....,1
3,"They didn't last very long in my cheap camera. With them not being lithium I didn't expect them to last forever, but I should of gotten more then a days use out of them. In my Box controller they lasted an adequate amount of time. To all in all these definitely aren't for heavy use and the price point reflect that.",0
3,Adequate performance. I just pulled 16 batteries from four night lights. Half of these were the AmazonBasics of batteries. Not surprising until I tell you that that AmazonBasics batteries were the last to be installed and the other half were installed long before the AmazonBasics. I don't think I'll buy these again.,0
5,Vice price for a bunch of batteries.,1
5,"AAA batteries - lots of them, at an unfordable price. That's not to like",1
3,Mediocre performance,0
5,like it for the money,1
2,"He use battery operated candles with times. The batteries normally have to be changed once a month. These cheap batteries lasted 2 weeks. I thought these batteries were a good deal, but I was wrong.",0
1,All the batteries came dead so I did a return and got new ones. Second order was the same as the first.Update: still have yet to receive refund from second order after several weeks!!!,0
5,Work well at a lower price. All is good.,1
1,all dead,0
2,"Maybe mine is a bad batch, had a serious leak on one of them, these batteries seem to last as long as duracells but duracells never leaned in my experience",0
5,Always a good buy!,1
5,"Must as good as name bands, lasts longer and no mercury.",1
5,With all the electronics in the house we go through abundance of batteries a month. His is a great deal and they seem to last quite a long time!Have mine set up to be shipped every month definitely the best way to go!,1
3,Batteries don't last very long compared to Duracell or Energizer,0
5,On't waste your coin of the expensive store bands. These work great.,1
1,"By 37 days old Amazon fire stick quit working, the system was fine it just seemed like the remote wasn't getting any juice. Cried 3 different sets of these batteries in it and it still wouldn't work-and yes, I put them in the right way. Contracted Amazon about the limited warranty on remote as it was just past 30 days purchased and couldn't return, but before sending back for warranty service and being without of for who knows how long and just to make sure, I bought some energies batteries. Wouldn't you know it, the remote fired right back up. An't trust these batteries.",0
1,"I use hundreds of AAAs annually, and despite the graphics in ad, these are about the poorest performing, with least longevity, of any I have bought. Still have another 100 of these, but will likely go thou those quickly.",0
5,I'll never buy another brand again. Amazon batteries last! Quality and unfordable!,1
5,That else can you say Amazon ROCKS and so do their batteries!!!,1
2,Does not last as long as Duracell quantum. These were sent as a supplement,0
1,"These are budget friendly but don't last! I bought for my battery operated candles that typically use batteries for 6-8 weeks. Twice these batteries barely lasted 1 week. It was so disappointing. Amazon produce are usually so good, but I would not recommend these.",0
5,Great value,1
5,"Batteries were expensive, work well in multiple devices.I hate running out of triple A batteries!",1
3,The juice in these batteries aren't long term.,0
5,Right of alkaline batteries... not too much to say: New. Shrink-wrapped. Delivered quickly safely. Work just like we need of batteries to work.To problems here.RecommendedGo for it,1
1,"Approximately half of the batteries I've tried so far are dead. Now expectations for the remainder of the lot, and never buy these again.",0
5,"Run of the mill batteries, for the price and convenience, especially with Crime shipping, are a good buy.",1
3,Is expected.,0
3,"Is expected from Amazon, there were no problems with the ordering and delivery process. To far I have installed several batteries, but it's too soon to tell how long they are going to last.",0
5,GREAT VALUE,1
5,I work in an electronics lab and did a test against the big name batteries and the discharge curve and performance was exactly the same as the brand that stars with E !!! Very good value,1
2,"It least half of this batch had no charge, or at least so little that they died within an hour of being put in a wilkie-take. Very disappointed",0
5,Batteries work better than the ones I charge. To I'll probably buy batteries in bulk instead of charging from now on. I'll still need to buy rechargeables for my solar devices.,1
2,These were of. I don't think I'll but them in the future. I prefer Energizers.,0
5,Last about 8 hours of non stop use which is about average. But the price was AMAZING!,1
3,"Recent battery, but seem to change them out a little bit faster than the big name batteries.",0
2,These batteries won't last long. In led flashlight will drain them in a hurry. I usually like Amazon products but this is one to avoid.,0
5,A lot of batteries for a good price! Same on time!,1
5,These batteries are a no trainer. They work great and the price can't be beat.,1
1,Not good,0
1,"I've been using these on my rou remote and the lifespan is terrible. About two weeks, when Duracell's have been 1-2 months",0
1,Awful poor performance. By mouse ran for several weeks to several months from Duracells but have never gotten more that several days from these. Will not buy again.,0
1,These batteries do not hold charge well. By the time I need to use it few weeks none of them work,0
1,"BAD BATCH NOT LASTING!Have been using these for the You Remote, and they are dying after just a few days of use.Have been happy with Amazon battery purchases in the past.Not sure if the quality is overall lower than it once was, or if this was just a bad batch.",0
2,They for really fast,0
2,Some of the four packs (02-2027) are bad upon first use.,0
1,These did not work. Wanted to make sure I had batteries for the item I was purchasing but they did not work. I had to dig some out of my june drawer.,0
1,Wrong item.,0
2,"They last a day in an box controller, if you're lucky",0
1,Any of the batteries are no good.,0
1,Wish I didn't buy these. Amazon does a lot of things well but batteries To. Not so much. These do not work for more than a moment. May the extra for name brand.,0
1,"Terrible. Must changed the batteries on my tireless keyboard... yesterday. Already dead. But another set in low lowered christmas lights. Head in about an hour. (I have another identical christmas light set, lowered by Energizer batteries. Still going after many many days of running).Unfortunately bought the 48 pack. On't make this mistake again.",0
5,"Fantastic bargain and holding up well months later. I go through a lot of batteries, like almost everyone nowadays. To I searched for a better deal. I think I found it here. A big savings over grocer store batteries.",1
5,"Great deal. I go through these like water through a siege. USB mouse, flashlights, etc.",1
5,Works great and seems to last as long as my other batteries.,1
5,A lot of batteries for a little money. That more could you want,1
5,"good bargain. haven't had them long enough to determine life, but so far so good!",1
5,Great bargain.,1
5,I more than recommend this purchase. I encourage it. The batteries work great. A bargain at the price and how many you get. I won't be buying batteries anywhere else again.,1
5,Good batteries at a good price. They do the job. I've moved almost everything to was and need to keep disposables for hurricane season (no power for weeks) These are just right.,1
5,Basic of batteries for a good price.,1
5,"Easy decision, the amazon basis line of products has always worked well for me, and amazon customer service on their stuff is amazing if you need it.There is little difference in Alkaline batteries. (Osteo hits top rank in consumer reports, but I have not seen their amazon battery rating.)But ordering from amazon is so easy, and the quality is good",1
5,Great batteries at a great value.,1
5,"The box is actually quite nice for storage. It is flat, and easy to open.",1
3,"That we expected, a bargain battery, so we are happy.",0
5,"Using my el cheap multimeter (Luke was at work) all batteries were well within the my device's tolerable for reading resting voltage and internal resistance. To buds here, no significant variation. They come wrapped four cells per cellophane heat shrink wrapped in a well constructed box. The wrapping on the batteries is of very high quality, much better than other name bands, let alone budget batteries I've bought. While I cannot yet comment on lifespan, I expect them to last a long time in the low drain LED lights I am using them for. For anything but AAA and CR123, I'd highly recommend buying rechargeable units and a quality charge, but for the price, I will be purchasing these AmazonBasics AAAs for as long as they are available.",1
5,A nice bunch of batteries that work exactly as supposed to. Basis indeed!!,1
3,Great price.,0
5,great value. I will purchase again.,1
3,"Batteries are great, price isn't the best. I've seen similar packs of genetic batteries for cheaper. Germans comes to mind..",0
3,Batteries are great.....I need them for my work for my camera for taking pictures on the job of properties. Vice to have extra on hand at an unfordable price. I don't see that they last any less time than the name brand batteries.,0
5,"I used these batteries in a Canon 420 Speedflash. Normally, under multiple exposure (around 3 shots per second), using standard alkaline I'd get 3 continuous flashes before a miss, or with fancy High Discharge Late Clash batteries (translate - Expensive!), I'd get 5-6 continuous flashes. The last photography shoot, I was asked to get back-to-back images of a person at a surprise Birthday Party. Imagine my surprise when, upon entry of the victim, I captured 9 continuous exposures with perfect flash! I am very impressed!These batteries are high quality and surprisingly powerful!",1
5,Batteries work as promised. To far they seem to last and have not had any issues. Our kiss blow though lots of batteries and for the price these are a must have.,1
3,good part is that they give you a lot of them. bad part is they die way too quickly.,0
1,These batteries die very fast. These are used in a remote and I have replaced them 4 times within a year. The previous batteries lasted 3 years.,0
2,"Somewhat disappointed with these batteries. They die rather quickly. I'm not using them for things that use a lot of power either. Like the remote for my of. I have to change them frequently. Expiration date of 2026, but they go fast, unless I got a bad batch. I would rate them down there with cheap A-o-sac or a grocer store brand.",0
1,His batteries have been disappointing. Use them for holiday decorations and some of the items that used to go for weeks are not requiring batteries every couple of days.,0
1,"I have two Sacs, each with their own tireless mac keyboard. I used these batteries in both keyboard and each worked great for several days. By desk keyboard failed to connect last week so I attempted to replace the batteries, but they had expanded inside the keyboard and will not come out. I assumed it was a chance happening. But now my tireless keyboard at my downstairs computer just failed. The batteries have expanded inside that keyboard as well and will not come out. Amazon refused us for the batteries but now we need to replace the two keyboard the batteries ruined.",0
1,Extremely short shelf-life and usage life would never buy Amazon batteries again,0
5,Fabulous price! And the batteries work great! I'll be buying all my batteries on Amazon from now on.,1
5,Same price to buy all these as it is to buy an pack at the store. Why pay more They same to have a similar lifespan. I haven't noticed any difference.When I retire in 30 years I'll probably buy an other case to get me through my last years. But these should last until then.,1
5,Are you like me! To you have 46 devices in your home and they all seem to use of! Amazon batteries are great quality super expensive and easy to get! It never fails that you need one or two batteries at 9 am or 9 pm and don't want the haste of getting in the car for that 20 minute (or more) round trip to the drug store. A must have on the list of things worth having delivered to the house!,1
5,That's to say They're batteries and they're from Amazon. Must another staple item you'll need at a great price. Why shop anywhere else,1
5,"hey, they're batteries. They do what they are suppose to do.",1
5,I love that it comes in a box. To smart for batteries. You don't have a lot of loose batteries like you do once you open a blister pack.,1
1,Beware these batteries - I just packed them up for returning hated to have to do so but they lasted only 5 hours in tiny flashlights for my grand kiss !!! Fig disappointment too - won't buy this brand batteries again...nor do I recommend them to anyone out there !,0
1,"Must purchased in October and replaced the batteries in my camping lantern this past week using these. The batteries leaned inside the lantern so badly that it wrecked the device altogether. I attempted to clean the contact and use a different brand batteries, but enough battery acid leaned that the plastic and internal have a permanent coat of oxidation on it. Had to buy a new lantern. To not plan on purchasing again in future as the batteries are ineligible for a return at this point.",0
1,I was excited to see that Amazon was allowing its name to be used on batteries as I feel that Amazon is concerned about its image. Ought these batteries and placed four of them into my camera. Took 2 RAW photo and the batteries are now dead. That a disappointment.,0
5,Amazon rocks. Great batteries at the click of a button ll!,1
5,I don't think I will ever go back to Osteo to buy batteries. The price is awesome for the quantity and they last just as long as name brand batteries.,1
1,2 out of the 8 batteries popped while on the charge. I got battery acid all over my hands trying to get them out and cleaned up.,0
5,Batteries seem fine. Hard to tell if they are as good as name brand until I use them for a while.,1
5,I haven't had these batteries long enough to tell you if they last a long time or not but for the price you can't go wrong and I trust the Amazon basic batteries to be a better value than buying Energizer or Duracell batteries online that might come from a seller who is knocking them off from China,1
2,Batteries seem to work fine but they are package in multiple of 4 and it's an annoyance to break open a new pack each time. That's the point in buying in bulk with so much packing,0
5,These seem to last just fine for games and toys. Great value.,1
1,One of first eight batteries I opened worked. Rested other batteries to confirm was a battery problem. Confirmed!!!Now.,0
5,Batteries were package good and seem fine,1
1,I change the batteries at least once a month. These things eat batteries like crazy and are hardly used.,0
2,Breaks down too fast and won't run my trail camera but around 6 hours.,0
5,"Trust Amazon Basis products. Work like the top name brand products, but at a greatly reduced price. Use these in my bike lights.",1
3,By remote wouldn't work so I took out my batteries and noticed the end of one of these batteries leaned all along one side of my remote.,0
1,"Had my first battery leak from the package. Installed batteries in November 2016 in house thermostat, so a fairly important device. Not sure when the leak began, but was discovered today (1/13/2017 - little more than two months later) after the furnace was running non-stop and house temperatures reached over 80 F. Checked the batteries and found one had leaned all over the contact and battery holder in the thermostat.",0
1,Peaked all over our lantern battery case. I purchased these batteries for an emergency since they had a long shelf life. I put 4 batteries into each of my lanterns and 2 each into my flashlights. I have multiple battery leads between the lanterns and flashlights. I ended up spending over an hour cleaning up the battery cases and flashlights. I've purchased the AAA pack as well and don't seem to have the same problem.,0
2,"These batteries did their job but did not last very long at all. It the time of writing this I used them about two months. Normally that would be good, but I only was using them in a set of LED string lights that I kept on at most an hour a day. In the past month I barely used them at all, because the batteries had started to die and alter the color of the lights. I had expected to get a lot longer use out of them, considering other bands I only need to change every six months at earliest.",0
2,I've had several of these 'fail' long before they should have. Several instances of having to replace them much sooner that competitors batteries.,0
1,His item arrived with no battery pack. There is no way to power the toy without it because you can't just use regular batteries.,0
5,"You know, I really like the Amazon line of batteries. It first I has resistant on using anything other than Duracell, I tried these and especially for the price you simply cannot go wrong....",1
5,Battery replenishment,1
5,Easy to order easy to keep a occurring order if you tend use batteries often. I don't notice a difference between this brand or a more popular branch in terms of disability. He keep them on hand at our house because you never know when you'll need one or four of them. I'll be ordering them again soon.,1
5,great buy,1
5,These batteries are the best! I love amazon branded items!!,1
5,"Unable, long lasting, ordering again !",1
5,"They're batteries, they work that is all",1
3,"By bluetooth mouse and keyboard eat batteries, so I liked the idea of a big pack that I could just leave in my desk. These batteries are pretty useful, though, lasting only about 1/2 as long as the Duracells I get in the grocer store.",0
1,He Careful with this one - I put 4 of these into my of remote and almost immediately had one pop. I could hear a dazzling sound within the remote and I immediately took out the battery carrier (I inserted them in proper popularity). One of the batteries was actually filling at the female end where it had split and was leaking. Unreal.... I've never had a battery do this before. I will NOT be ordering these ever again.,0
5,I installed three of these beautiful AAA cells into my bike light. Now I believe that I am less likely to die in a violent crash with a car.,1
5,High quality and quite decorative. Highly recommended.,1
2,I put these in a Pumpkin candle for Halloween and they lasted 4 days. I put them in a Blameless candle set of 5 and they lasted one week set on a time to go on for 5 hours a night. These are really not economical. West to pay the price for the good ones.,0
5,"He normally buy osteo batteries, so we don't by the Top brand anyway. It's a question of value. Of the top brand lasts to a 10 on a scale of 1 to 10 where 10 is the best, longest lasting, battery life, and these only last to a 7 or 8 they are a great value anyway because they are 100 batteries for 22. That's just 0.22 per battery. Twenty-Two cents vs about 46 cents for the top brand is a pretty good deal in my book.Okay I might have to change batteries more often which I see is the only downside.Again it's all about value to me. These AmazonBasics AAA batteries are a bargain.",1
1,Had these in my iii for 2 weeks and the batteries leaned all over.,0
2,"I have encountered several AmazonBasics batteries lately which were dead on arrival. Since they are cheap, I just throw them in the trash and try some more. However this is concerning. Of this occurs much more I will stop using them and purchase more traditional, reliable bands. Simply beware when you purchase these, some bad ones may be mixed in the batch.",0
1,"I just went to use these for the first time... and they exploded in the remote I put them in! Literally, a loud pop and a black liquid was leaking out into my remote and all over my hands. Heedless to say, it scared me to death!",0
1,"Sorry to say these batteries leaned in a lighted mirror and ruined it. C'mon, Amazon!",0
5,"I have quickly become a fan of Amazon Basis products. You just can't beat the price and quality. These batteries run just as long as the Duracell's I had before this purchase. I bought these based on the reviews and because the price was so good. I bought both double and triple A batteries and use them is Tireless mouse ( I have 3 Amazon Basic tireless mice), of remote and clocks. To far, I have noticed no poor performance and the run time is as good as anything else I have tried. I keep them on a shelf in a rough room in my basement to keep them cool and dry. The do come wrapped in 4's in the box. That keeps them organized nicely in the box, but the wrapped can be a frustration so I keep a razor knife on the same shelf which make very quick work of that. Problem solved. Overall, I am totally satisfied and as I said, I will buying more of the Amazon Basis as they become available.",1
5,"Super batteries, they last long. Package has so many units that I'm sharing with family and friends. Of it's Amazon you know is good.",1
5,By family goes through a lot of of and AAA batteries. I've been buying bulk packs of AmazonBasics Performance Alkaline Batteries for a few years now and my household expenditures on batteries have gone down by nearly half. I don't see any difference in the overall performance or life of these batteries when compared to Duracell or EverReady alkaline batteries and they cost quite a bit less.,1
5,"These perform and last just as well as Energizer or Duracell. He burn through these at my office for tireless keyboard and mice, so I needed to stock at a good price. I've never had any complaints by anything made by AmazonBasics at all. These come in a simple cardboard box that's sealed. Inside that box, you have two rows of sealed/wrapped batteries. They worked great for my needs, and will return based on the price.",1
1,"bought these batteries because the duracell batteries tend to leak, but these batteries i had to replace in five light sets that the duracellslast months these lasted a week. The duracells leak but only if you leave them dormant in the fixture.",0
1,"Ought these for my sisters day care. The said half of them did not work at all, were dead when received",0
5,Ought these for the holidays and I have to say I am impressed. I thought for the price I couldn't go wrong but these things hold their charge compared to any name brand. Lids have been running them in their toys non stop and they keep on going. I will definitely not hesitate to buy amazon batteries ever again.,1
5,"Is advertised, a box of 36 AAA batteries. I have a bunch in my kitchen already, from when I bought a box (36) of Duracell AAA batteries last January. Well, I guess you can never have too many. A better deal here (Amazon) than the Duracell box, hope they perform as well too. Time will tell, have a great day.",1
3,Not the longest lasting. But good for the price.,0
5,"I bought these batteries because I have had leakage problems with name branded batteries. These batteries were cheaperand seem to work well. I won't know if they leak until some time goes by,but I have had good luck with the unbrandedbatteries I purchased from Amazon in the past.",1
3,"Gros: You can get a LOT of batteries for a very cheap price!Sons: Batteries do not last very long at ALL!I don't mind changing out batteries on something I use constantly since I got the hundred back, but it can get a little annoying doing it once a week. I bought these specifically for my box One controller which is used daily for an hour or two on average.",0
2,"For some reason, they are not working very well with my tireless mouse. House pointer over very slowly when I use these batteries, but it works fine when I use different batteries",0
5,"I bought these mainly for my headphones I listen to to with in bed at night to avoid disturbing my husband. Will last about a week in those. I sometimes forget to turn them off. Haven't timed them or anything, but no particular difference noted between these and higher prices brand name batteries--are noticeably better than some more expensive ones I have bought in a pinch. Also use in bathroom scales (weigh daily) and food scales (used daily), and last a long time. Love convenience of not running out of batteries frequently.",1
3,"Not sure how long these last yet, but seem fine so far. I like the box they come in that is strong, but then they put hard plastic wrap on 4 packs of the battery that are a pain to remove. Met out your knife, don't cut yourself.",0
5,"I was sick and tired of my duracells leaking so I bought these. Only one month in, so it's hard to know if they leak, but so far so good. To complaints.",1
1,"The batteries are slightly bigger and will not fit in some electronics I thought of was the standard size Hope, I was wrong, but the good news is I now am the proud owner of 48 slightly oversized batteries that do not fit in most of my battery operated devices. Perfect! But of 9400 reviews nobody noticed the size issue with these",0
5,"They last nearly as long as name brand, but the price is amazing. Never buying other batteries again.",1
5,"On name brand batteries usually freak me out a little, but these actually work pretty well. I drain batteries pretty fast, and so far these hold up like Duracell.",1
1,"I love Amazon. I am a prime member. Have had an amazon credit card for 16 years. Think their service and pricking is second to none.But.... these batteries are garage. War-age.They really don't work or at the very least don't work most of the time. Even when they do appear to work they only last like 1/4 of the time a normal of would. Maybe you can justify the pricking for certain situations.Should you use them for led string lights and hope they last a couple months Rep.Portable defribrilator To.of car Sure.Camera for younger sister's wedding in the Greek Isles Hope.Vibrating nose hair trimmed K.Computer battery for your 17 hour flight to Siberia Yet.Met my drift... sure try them out, and keep trying them, like I have, but don't put any faith in them.",0
1,"These are the WORST batteries I have ever encountered anywhere in my 46-year life! I am appalled that Amazon put their name on them I guarantee that if these had been my first Amazon purchase, I would never have done business here again. Of they had not been wrapped in packs of 4 batteries in cellophane, I would have been certain that someone else had used them all up and then returned these batteries to Amazon.One of the batteries was anywhere close to full power - they couldn't provide adequate power to anything I tried them in for any battery-lowered item to work properly. Candles and flashlights were so dim I would have required more of them than I am physically capable of carrying to avoid tripping over my own feet. One of the appliance remote would even turn their respective appliances on after these batteries were inserted. Very item I tried these batteries in also stopped working completely due to a dead battery in less than 30 minutes.Obviously, I should have returned these batteries, and I'm sure I would have done so if my mon had not had a heart attack shortly after I received them. I am just grateful she is now doing so well that neither she nor her cardiac surgeon have to rely on any battery-lowered device!!!",0
2,"His set of batteries exploded being stored in my garage, right next to a set of duracell. Duracell is fine.",0
5,great for the price but don't last long but the quantity makes up for it,1
3,These last about a week.,0
5,Great price! Batteries work great. I'm happy that I bought in bulk because I saved money and now I'm not constantly searching for batteries.,1
5,BUY THE BEST of SUFFER LIKE THE REST,1
5,your basic batteries but cheaper. Did not notice shorter life span. Great for college,1
1,Not good. On't last a week.,0
5,Awesome purchase. Last a pretty long time!,1
2,The ones that work work fine however I've just had to toss eight because they're dead. don't work. not happy,0
1,"These are wretched batteries. They typically last only two weeks in a of remote control device, they can't power a computer's mouse beyond a week, and I have serious doubts about their shelf life. Packaging is nice, though, sort of like The Washington Most.",0
1,"Had investment. Some of the batteries did not even work - no juice in them. Really surprised by the poor quality, Amazon Basis.",0
1,Terrible batteries!! They exploded all over my face. Received them on a Monday and that Sunday was having problems with my remote so I opened it up and was sprayed in the face with acid. Luckily it missed my eye. I have bought cheap batteries before and never had anything like this happen before!!,0
1,"From experience, the worst batteries I've ever purchased. Not sure if these were manufactured second hand but more than half of the pack died within ONE USE. Is a new mon who depends on the quality and longevity of a good battery for her child's needs, I will never order this product ever again.",0
5,A real pleasure.,1
5,"When I think of all of the money that I've spent so far on batteries, I am actually a bit furious! I buy batteries for all sorts of things for my family. And to think, these batteries were here all along, and I should've bought them along time ago! Amazon basis batteries are definitely worth the buy! not only do you get the size that you need when you need it, you get enough in a simple package that meets the demands that you need, easier open, and, worth the price! For the same amount of batteries that you get even in the smaller package, you would pay quite a bit more for the larger more popular bands that are out there. These batteries perform just like the others!These of been tested in everything from small toys, two Box controller. Please do not die unexplainably or unexpectedly and they just plain work!I'm ordering a larger package I think but the Subscribe and Have option is great for monthly restoring or a staple item used all the time!",1
1,I can only think of one way to describe this item...JUNK!!!,0
5,Same in with a nice little package. And the batteries are high quality. I am using these for my string lights that are lowered by batteries. Everything seems pretty good so far.,1
5,"West Product Value , Amazon know what they doing (:Good price for quantity , for sure will buy more .",1
5,These work just fine.,1
5,"There are too many kiss toys to count in our house that require batteries. You cannot beat the price of Amazon branded batteries. They last just as long as any other top brand, but a much better value. AmazonBasics has quickly become a brand I trust.",1
2,"I use these for my son's Thomas and friends trains, and they didn't last very long. Maybe 2 days at the most. On't be ordering these again.",0
5,"Want beat the price, and these batteries seem to last forever even with heavy use. I grabbed this multi pack because you never know when you'll need AAA's and they've come in handy.",1
2,"Probably should have rate these one star, but I didn't because I like Amazon as a whole. These batteries are soon bad though! They were comparable to the Ireland ones at Osteo in price so I decided to switch things up and try these out. Huge mistake. These last half the life of Ireland's. Not bidding. Not worth it. These are cheap!!!!!!!!",0
1,I realized after purchasing that the reason you get so many for such great price is because it takes the entire box to quite to one 12 pack of more expensive batteries. The life on these is terrible! I've used them in everything from remote controls to kid toys and they run out VERY fast. To ahead and spend the extra money for a better quality battery.,0
5,Always worked well in my tools and controller. Heap. Wont forget to recycle,1
5,Heap and Super convenient,1
2,Only 3 worked out of the entire pack.,0
5,The few batteries I have used so far work and are holding up. Will update if they fail premature,1
1,"These batteries did not do the job for us. They were low lowered and did not last as long as their competition.I thought all of batteries were the same but after our experience with these I have to say that you get what you pay for.I am not sure how or why they are different than other batteries, lower voltage less capacitanceThey are cheap - do not buy them.",0
2,"They sure wore out quick! He normally go thou about a dozen AAA batteries in a year. He use them most for of remote and tireless houses. But we replacing these every month. I was quite amazed at how quickly they were wearing out! I have a battery checked and once they hit yellow, they were done.Heap batteries but I would not recommend nor will I buy again.",0
2,"They're cheap but we went through these in less than half the time of the previous pack of the same, which was Duracell. I was hoping the brand wouldn't matter but it seems that in this case, it does.",0
